ApplStandard,MEPSComp,N-Standard,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,ExpDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,EER,Variable Output Compressor,Type variable output,Var output compressor,Rated cooling power input kW,Rated heating power input kW,Rated AEER,Rated ACOP
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,DAIKIN,3,Ducted,Single Split System,,Air,Air,"Thailand,Australia",5.88,15,18,970,0,,,500,6.15,20,Enthalpy Test Room,3.141,3.4814,TRUE,86.31,33,33,3.531938326,0,3.07920628,3.420631516,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",2/7/20,Approved,Reverse Cycle,1230,Class 7,FALSE,TRUE,FALSE,FALSE,FALSE,3.141,TRUE,Variable output compressor,Inverter,5.88,6.15,3.0042,3.1941
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,DAIKIN,3,Ducted,Single Split System,,Air,Air,"Australia,Thailand",6.44,17,20,1430,0,,,500,7,22.4,Enthalpy Test Room,3.1152,3.5835,TRUE,92,33,33,3.741354467,0,3.062314865,3.524254544,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",23/6/20,Approved,Reverse Cycle,970,Class 11,FALSE,TRUE,,,,3.1152,TRUE,Variable output compressor,Inverter,6.44,7,3.0527,3.1498
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,100,85.9,85.9,0,0,2.995954565,3.736888044,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",4/10/21,Approved,Reverse Cycle,,Class 12,TRUE,FALSE,TRUE,TRUE,TRUE,3.0538,FALSE,"Multiple compressors,Fixed Speed Compressor",Staged Mulitple Compressors,15.4,14.157,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,100,85.9,85.9,0,0,2.995954565,3.736888044,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",4/10/21,Approved,Reverse Cycle,,Class 12,TRUE,FALSE,TRUE,TRUE,TRUE,3.0538,FALSE,"Multiple compressors,Fixed Speed Compressor",Staged Mulitple Compressors,15.4,14.157,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,85.9,85.9,0,0,2.995954565,3.736888044,0,0,0,0,None,Three,R410A,"Australia,New Zealand",29/8/21,Superseded,Reverse Cycle,,Class 12,TRUE,,TRUE,TRUE,TRUE,3.0538,FALSE,Multiple compressors,,15.4,14.157,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,85.9,85.9,0,0,2.995954565,3.736888044,0,0,0,0,None,Three,R410A,"Australia,New Zealand",29/8/21,Superseded,Reverse Cycle,,Class 12,TRUE,,TRUE,TRUE,TRUE,3.0538,FALSE,Multiple compressors,,15.4,14.157,2.9171,3.2788
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,85.9,85.9,0,0,2.995954565,3.736888044,0,0,0,0,None,Three,R410A,"Australia,New Zealand",29/8/21,Superseded,Reverse Cycle,,Class 12,TRUE,,TRUE,TRUE,TRUE,3.0538,FALSE,Multiple compressors,,15.4,14.157,2.9171,3.2788
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,,Air,Air,Australia,7,18.86,24.6,,0,,,,6.5,23.8,Enthalpy Test Room,3.781,3.6523,FALSE,,89,89,0,0,3.622495757,3.491145263,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",18/3/20,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.781,FALSE,,,7,6.5,3.3695,3.4996
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,,Air,Air,Australia,7,18.86,24.6,,0,,,,6.5,23.8,Enthalpy Test Room,3.781,3.6523,FALSE,,89,89,0,0,3.622495757,3.491145263,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",18/3/20,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.781,FALSE,,,7,6.5,3.3695,3.4996
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,0.65,Ducted,Packaged,,Water loop,Water Loop,China,0.655,2.35,3,483,0,,,381,0.713,4,Enthalpy Test Room,4.3319,5.3645,FALSE,,4.5,4.5,0,0,4.236811356,5.254577545,0,0,0,0,None,Single,R410A,"Australia,New Zealand",24/3/20,Approved,Reverse Cycle,787,Class 13,FALSE,FALSE,,,,4.3319,FALSE,,,0.655,0.713,4.4762,5.4929
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,Mitsubishi Electric,1.381,Non Ducted,Single Split System,Floor Mounted,Air,Air,"Thailand,Japan",1.4,3.614,4.995,215,0,,,600,1.5,5.8,Calorimeter Room,3.566,3.9368,TRUE,100,0.6,0.6,0,0,3.560869776,3.931469744,2.6217,3.3629,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",18/6/14,Approved,Reverse Cycle,750,Class 4,FALSE,FALSE,,,,3.566,FALSE,Inverter,,1.4,1.5,3.5627,3.8614
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,Mitsubishi Electric,1.381,Non Ducted,Single Split System,Floor Mounted,Air,Air,"Thailand,Japan",1.4,3.614,4.995,215,0,,,600,1.5,5.8,Calorimeter Room,3.566,3.9368,TRUE,,0.6,0.6,0,0,3.560869776,3.931469744,2.6217,3.3629,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",19/6/14,Approved,Reverse Cycle,750,Class 4,FALSE,FALSE,,,,3.566,FALSE,Inverter,,1.4,1.5,3.5627,3.8614
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,0.94,Ducted,Packaged,,Water loop,Water Loop,China,1.002,3.16,4.1,483,0,,,381,1.18,5.5,Enthalpy Test Room,4.1447,4.5,FALSE,,4.5,4.5,0,0,4.082736112,4.442733913,0,0,0,0,None,Single,R410A,"Australia,New Zealand",18/5/20,Approved,Reverse Cycle,787,Class 13,FALSE,FALSE,,,,4.1447,FALSE,,,1.002,1.18,4.0306,4.6017
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,1.07,Ducted,Packaged,,Water loop,Water Loop,China,1.24,4.27,5.34,508,0,,,483,1.3,6.7,Enthalpy Test Room,4.1408,5.0192,FALSE,,5.5,5.5,0,0,4.080805246,4.948506733,0,0,0,0,None,Single,R410A,"Australia,New Zealand",24/3/20,Approved,Reverse Cycle,889,Class 13,FALSE,FALSE,,,,4.1408,FALSE,,,1.24,1.3,4.2428,5.0812
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,1.36,Ducted,Packaged,,Water loop,Water Loop,China,1.48,4.84,6.2,508,0,,,430,1.68,7.8,Enthalpy Test Room,4.2225,4.7619,FALSE,,6,6,0,0,4.166557754,4.705107394,0,0,0,0,None,Single,R410A,"Australia,New Zealand",24/3/20,Approved,Reverse Cycle,889,Class 13,FALSE,FALSE,,,,4.2225,FALSE,,,1.48,1.68,4.1326,4.5875
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,1.67,Ducted,Packaged,,Water loop,Water Loop,China,1.79,5.93,7.6,559,0,,,483,1.8,9,Enthalpy Test Room,4.0458,5,FALSE,,6.5,6.5,0,0,3.996754913,4.939708118,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",18/5/20,Approved,Reverse Cycle,1067,Class 13,FALSE,FALSE,,,,4.0458,FALSE,,,1.79,1.8,4.1943,4.9397
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,2.06,Ducted,Packaged,,Water loop,Water Loop,China,2.186,7.34,9.4,559,0,,,483,2.3,11.8,Enthalpy Test Room,4.1453,5.0435,FALSE,,6.8,6.8,0,0,4.103002951,4.993577227,0,0,0,0,None,Single,R410A,"Australia,New Zealand",24/3/20,Approved,Reverse Cycle,1067,Class 13,FALSE,FALSE,,,,4.1453,FALSE,,,2.186,2.3,4.2553,5.0797
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,2.4,Ducted,Packaged,,Water loop,Water Loop,China,2.55,8.59,10.99,559,0,,,533,2.51,13.5,Enthalpy Test Room,4.045,5.1793,FALSE,,7.5,7.5,0,0,4.005942065,5.12749719,0,0,0,0,None,Single,R410A,"Australia,New Zealand",22/5/20,Approved,Reverse Cycle,1067,Class 13,FALSE,FALSE,,,,4.045,FALSE,,,2.55,2.51,4.2674,5.3247
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,2.77,Ducted,Packaged,,Water loop,Water Loop,China,3.08,9.53,12.3,559,0,,,533,3.15,14.8,Enthalpy Test Room,3.9714,4.6349,FALSE,,7.5,7.5,0,0,3.939008485,4.59791834,0,0,0,0,None,Three,R410A,"Australia,Fiji,New Zealand",24/3/20,Approved,Reverse Cycle,1067,Class 13,FALSE,FALSE,,,,3.9714,FALSE,,,3.08,3.15,3.9609,4.6609
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,3.462,Ducted,Packaged,,Water loop,Water Loop,China,3.62,11.538,15,686,0,,,534,3.71,17.6,Enthalpy Test Room,4.1264,4.8575,FALSE,,9,9,0,0,4.090705086,4.816614134,0,0,0,0,None,Three,R410A,"Australia,New Zealand",24/3/20,Approved,Reverse Cycle,1321,Class 13,FALSE,FALSE,,,,4.1264,FALSE,,,3.62,3.71,4.1091,4.7054
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,4.27,Ducted,Packaged,,Water loop,Water Loop,China,4.4,12.23,16.5,686,0,,,531,4.79,20.31,Enthalpy Test Room,3.6358,4.1791,FALSE,,9,9,0,0,3.610703229,4.153080136,0,0,0,0,None,Three,R410A,"Australia,New Zealand",26/5/20,Approved,Reverse Cycle,1321,Class 13,FALSE,FALSE,,,,3.6358,FALSE,,,4.4,4.79,3.7243,4.2133
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,Mammoth,5.51,Ducted,Packaged,,Water loop,Water Loop,China,5.1,13.79,19.3,686,0,,,534,5.212,22.5,Enthalpy Test Room,3.6588,4.3534,FALSE,,9.2,9.2,0,0,3.636649948,4.327595756,0,0,0,0,None,Three,R410A,"Australia,New Zealand",27/4/20,Approved,Reverse Cycle,1321,Class 13,FALSE,FALSE,,,,3.6588,FALSE,,,5.1,5.212,3.7614,4.2914
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DAIKIN,1.9,Non Ducted,Single Split System,Cassette,Air,Air,"Japan,Thailand",2.64,8.1,10,,0,,,,2.84,11.2,Enthalpy Test Room,3.8307,4.1321,TRUE,,29.8,37.2,0,0,3.684595588,3.944899659,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",11/6/20,Approved,Reverse Cycle,,Class 5,FALSE,FALSE,FALSE,FALSE,FALSE,3.8307,TRUE,Variable output compressor,Inverter,2.64,2.84,3.6487,3.7765
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,DAIKIN,1.3,Ducted,Single Split System,Cassette,Air,Air,Thailand,4.92,14.7,16,,0,,,,4.72,18,Enthalpy Test Room,3.182,3.8189,TRUE,100,31.4,38.9,0,0,3.114642631,3.715853996,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",1/6/20,Approved,Reverse Cycle,,Class 7,FALSE,FALSE,TRUE,FALSE,FALSE,3.182,TRUE,Variable output compressor,Inverter,4.92,4.72,3.1834,3.7102
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,DAIKIN,1.8,Ducted,Single Split System,Cassette,Air,Air,Thailand,1.35,3.2,5,,0,,,,1.38,6,Enthalpy Test Room,4.0175,4.4144,TRUE,100,29.8,37.2,0,0,3.719666393,4.041067143,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",31/3/20,Approved,Reverse Cycle,,Class 6,FALSE,FALSE,,,,4.0175,TRUE,Variable output compressor,Inverter,1.35,1.38,3.4466,3.9848
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DAIKIN,0.8,Non Ducted,Single Split System,Cassette,Air,Air,Japan,1.67,5.2,6,,0,,,,1.74,7,Enthalpy Test Room,3.946,4.2718,TRUE,100,29.8,37.2,0,0,3.703310204,3.978750895,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",31/3/20,Approved,Reverse Cycle,,Class 4,FALSE,FALSE,,,,3.946,TRUE,Variable output compressor,Inverter,1.67,1.74,3.3884,3.7519
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DAIKIN,1.5,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,1.84,5.6,7.1,,0,,,,1.79,8,Enthalpy Test Room,3.986,4.5547,TRUE,100,29.8,37.2,0,0,3.773806327,4.251520594,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",2/4/20,Approved,Reverse Cycle,,Class 4,FALSE,FALSE,FALSE,FALSE,FALSE,3.986,TRUE,Variable output compressor,Inverter,1.84,1.79,3.6584,4.1759
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DAIKIN,1.9,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,2.57,8.1,10,,0,,,,2.77,11.2,Enthalpy Test Room,4.1904,4.6974,TRUE,,29.8,37.2,0,0,4.01614051,4.455918382,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",31/3/20,Approved,Reverse Cycle,,Class 5,FALSE,FALSE,FALSE,FALSE,FALSE,4.1904,TRUE,Variable output compressor,Inverter,2.57,2.77,3.7443,3.8678
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,DAIKIN,3.2,Non Ducted,Single Split System,Cassette,Air,Air,Thailand,3.56,9.3,12.5,,0,,,,3.6,14,Enthalpy Test Room,3.5442,4.1247,TRUE,100,29.8,37.2,0,0,3.4440254,3.97313728,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",20/3/20,Approved,Reverse Cycle,,Class 5,FALSE,FALSE,FALSE,FALSE,FALSE,3.5442,TRUE,Variable output compressor,Inverter,3.56,3.6,3.4146,3.7576
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,LENNOX,0.5,Ducted,Packaged,,Water loop,Water Loop,France,0.47,1.54,2.04,230,0,0,0,563.5,0.59,2.6,Calorimeter Room,5.0431,4.6143,FALSE,0,5.3,5.3,0,0,4.855638143,4.484071859,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",5/9/21,Approved,Reverse Cycle,1040,Class 13,FALSE,FALSE,,,,5.0431,,,,0.47,0.59,4.1811,4.2769
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,LENNOX,0.7,Ducted,Packaged,,Water loop,Water Loop,France,0.69,2,2.7,500,0,0,0,230,0.82,3.5,Calorimeter Room,3.6365,3.9215,FALSE,0,2.9,2.9,0,0,3.587514187,3.877045897,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",3/8/21,Approved,Reverse Cycle,1000,Class 13,FALSE,FALSE,,,,3.6365,,,,0.69,0.82,3.8582,4.2179
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,LENNOX,2.18,Ducted,Packaged,,Water loop,Water Loop,France,1.59,4.62,6.8,492,0,0,0,441,2.11,7.96,Enthalpy Test Room,4.3092,3.7747,FALSE,0,3,3,0,0,4.281852654,3.75659777,0,0,0,0,None,Single,R410A,"Australia,New Zealand",29/8/21,Approved,Reverse Cycle,886,Class 13,FALSE,FALSE,,,,4.3092,,,,1.59,2.11,4.2496,3.7545
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,LENNOX,2.56,Ducted,Packaged,,Water loop,Water Loop,France,2.06,5.44,8,492,0,0,0,441,2.48,9.45,Enthalpy Test Room,3.9007,3.8039,FALSE,0,3,3,0,0,3.881608763,3.788480198,0,0,0,0,None,Single,R410A,"Australia,New Zealand",22/8/21,Approved,Reverse Cycle,886,Class 13,FALSE,FALSE,,,,3.9007,,,,2.06,2.48,3.8645,3.795
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.3:2005,LENNOX,3.06,Ducted,Packaged,,Water loop,Water Loop,France,2.5,7.14,10.2,623,0,0,0,491,3.09,12.21,Enthalpy Test Room,4.1103,3.9483,FALSE,0,3,3,0,0,4.093683599,3.935368691,0,0,0,0,None,Single,R410A,"Australia,New Zealand",29/8/21,Approved,Reverse Cycle,1180,Class 13,FALSE,FALSE,,,,4.1103,,,,2.5,3.09,4.0635,3.9385
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,MITSUBISHI ELECTRIC,1.48,Non Ducted,Single Split System,Floor Mounted,Air,Air,"Japan,Thailand",1.75,4.556,6.036,215,0,,,600,1.89,6.8,Calorimeter Room,3.469,3.594,TRUE,100,0.6,0.6,0,0,3.464927085,3.590136855,2.4299,2.6803,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",2/10/14,Approved,Reverse Cycle,750,Class 4,FALSE,FALSE,,,,3.469,FALSE,Inverter,,1.75,1.89,3.4452,3.594
